bird_name,scientific_name
Fulvous Whistling-Duck,Dendrocygna bicolor
Snow Goose,Anser caerulescens
Ross's Goose,Anser rossii
Greater White-fronted Goose,Anser albifrons
Brant,Branta bernicla
Cackling Goose,Branta hutchinsii
Canada Goose,Branta canadensis
Tundra Swan,Cygnus columbianus
Wood Duck,Aix sponsa
Mandarin Duck,Aix galericulata
Blue-winged Teal,Spatula discors
Cinnamon Teal,Spatula cyanoptera
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Eurasian Wigeon,Mareca penelope
American Wigeon,Mareca americana
Mallard,Anas platyrhynchos
Mexican Duck,Anas diazi
Northern Pintail,Anas acuta
Green-winged Teal,Anas crecca
Canvasback,Aythya valisineria
Redhead,Aythya americana
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
King Eider,Somateria spectabilis
Harlequin Duck,Histrionicus histrionicus
Surf Scoter,Melanitta perspicillata
White-winged Scoter,Melanitta deglandi
Black Scoter,Melanitta americana
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Ruddy Duck,Oxyura jamaicensis
Mountain Quail,Oreortyx pictus
California Quail,Callipepla californica
Gambel's Quail,Callipepla gambelii
Wild Turkey,Meleagris gallopavo
Ring-necked Pheasant,Phasianus colchicus
Pied-billed Grebe,Podilymbus podiceps
Horned Grebe,Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Eared Grebe,Podiceps nigricollis
Western Grebe,Aechmophorus occidentalis
Clark's Grebe,Aechmophorus clarkii
Rock Pigeon,Columba livia
Band-tailed Pigeon,Patagioenas fasciata
Eurasian Collared-Dove,Streptopelia decaocto
Spotted Dove,Spilopelia chinensis
Inca Dove,Columbina inca
Common Ground Dove,Columbina passerina
Ruddy Ground Dove,Columbina talpacoti
White-winged Dove,Zenaida asiatica
Mourning Dove,Zenaida macroura
Groove-billed Ani,Crotophaga sulcirostris
Greater Roadrunner,Geococcyx californianus
Yellow-billed Cuckoo,Coccyzus americanus
Lesser Nighthawk,Chordeiles acutipennis
Common Nighthawk,Chordeiles minor
Common Poorwill,Phalaenoptilus nuttallii
Eastern Whip-poor-will,Antrostomus vociferus
Mexican Whip-poor-will,Antrostomus arizonae
Black Swift,Cypseloides niger
Chimney Swift,Chaetura pelagica
Vaux's Swift,Chaetura vauxi
White-throated Swift,Aeronautes saxatalis
Rivoli's Hummingbird,Eugenes fulgens
Blue-throated Mountain-gem,Lampornis clemenciae
Black-chinned Hummingbird,Archilochus alexandri
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Calliope Hummingbird,Selasphorus calliope
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Broad-tailed Hummingbird,Selasphorus platycercus
Broad-billed Hummingbird,Cynanthus latirostris
Xantus's Hummingbird,Basilinna xantusii
Violet-crowned Hummingbird,Ramosomyia violiceps
Ridgway's Rail,Rallus obsoletus
Virginia Rail,Rallus limicola
Sora,Porzana carolina
Common Gallinule,Gallinula galeata
American Coot,Fulica americana
Purple Gallinule,Porphyrio martinica
Yellow Rail,Coturnicops noveboracensis
Black Rail,Laterallus jamaicensis
Sandhill Crane,Antigone canadensis
Black-necked Stilt,Himantopus mexicanus
American Avocet,Recurvirostra americana
American Oystercatcher,Haematopus palliatus
Black Oystercatcher,Haematopus bachmani
Black-bellied Plover,Pluvialis squatarola
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Killdeer,Charadrius vociferus
Semipalmated Plover,Charadrius semipalmatus
Siberian Sand-Plover,Anarhynchus mongolus
Wilson's Plover,Anarhynchus wilsonia
Mountain Plover,Anarhynchus montanus
Snowy Plover,Anarhynchus nivosus
Upland Sandpiper,Bartramia longicauda
Whimbrel,Numenius phaeopus
Long-billed Curlew,Numenius americanus
Bar-tailed Godwit,Limosa lapponica
Hudsonian Godwit,Limosa haemastica
Marbled Godwit,Limosa fedoa
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Wilson's Snipe,Gallinago delicata
Wilson's Phalarope,Phalaropus tricolor
Red Phalarope,Phalaropus fulicarius
Red-necked Phalarope,Phalaropus lobatus
Spotted Sandpiper,Actitis macularius
Solitary Sandpiper,Tringa solitaria
Gray-tailed Tattler,Tringa brevipes
Wandering Tattler,Tringa incana
Wood Sandpiper,Tringa glareola
Lesser Yellowlegs,Tringa flavipes
Willet,Tringa semipalmata
Spotted Redshank,Tringa erythropus
Greater Yellowlegs,Tringa melanoleuca
Ruddy Turnstone,Arenaria interpres
Black Turnstone,Arenaria melanocephala
Red Knot,Calidris canutus
Surfbird,Calidris virgata
Ruff,Calidris pugnax
Sharp-tailed Sandpiper,Calidris acuminata
Curlew Sandpiper,Calidris ferruginea
Stilt Sandpiper,Calidris himantopus
Red-necked Stint,Calidris ruficollis
Buff-breasted Sandpiper,Calidris subruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
Pectoral Sandpiper,Calidris melanotos
Western Sandpiper,Calidris mauri
Semipalmated Sandpiper,Calidris pusilla
Long-tailed Jaeger,Stercorarius longicaudus
Parasitic Jaeger,Stercorarius parasiticus
Pomarine Jaeger,Stercorarius pomarinus
South Polar Skua,Stercorarius maccormicki
Rhinoceros Auklet,Cerorhinca monocerata
Tufted Puffin,Fratercula cirrhata
Horned Puffin,Fratercula corniculata
Cassin's Auklet,Ptychoramphus aleuticus
Parakeet Auklet,Aethia psittacula
Kittlitz's Murrelet,Brachyramphus brevirostris
Marbled Murrelet,Brachyramphus marmoratus
Pigeon Guillemot,Cepphus columba
Common Murre,Uria aalge
Ancient Murrelet,Synthliboramphus antiquus
Scripps's Murrelet,Synthliboramphus scrippsi
Guadalupe Murrelet,Synthliboramphus hypoleucus
Craveri's Murrelet,Synthliboramphus craveri
Swallow-tailed Gull,Creagrus furcatus
Little Gull,Hydrocoloeus minutus
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Belcher's Gull,Larus belcheri
Black-tailed Gull,Larus crassirostris
Heermann's Gull,Larus heermanni
Short-billed Gull,Larus brachyrhynchus
Ring-billed Gull,Larus delawarensis
Yellow-footed Gull,Larus livens
Western Gull,Larus occidentalis
Herring Gull,Larus argentatus
Glaucous Gull,Larus hyperboreus
Lesser Black-backed Gull,Larus fuscus
California Gull,Larus californicus
Glaucous-winged Gull,Larus glaucescens
Slaty-backed Gull,Larus schistisagus
Iceland Gull,Larus glaucoides
Black Skimmer,Rynchops niger
Sooty Tern,Onychoprion fuscatus
Bridled Tern,Onychoprion anaethetus
Least Tern,Sternula antillarum
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Black Tern,Chlidonias niger
Forster's Tern,Sterna forsteri
Arctic Tern,Sterna paradisaea
Common Tern,Sterna hirundo
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Royal Tern,Thalasseus maximus
Red-billed Tropicbird,Phaethon aethereus
Red-tailed Tropicbird,Phaethon rubricauda
Red-throated Loon,Gavia stellata
Pacific Loon,Gavia pacifica
Common Loon,Gavia immer
Yellow-billed Loon,Gavia adamsii
Laysan Albatross,Phoebastria immutabilis
Black-footed Albatross,Phoebastria nigripes
Short-tailed Albatross,Phoebastria albatrus
Wilson's Storm-Petrel,Oceanites oceanicus
Fork-tailed Storm-Petrel,Hydrobates furcatus
Leach's Storm-Petrel,Hydrobates leucorhous
